ID_Code,dry_wt
JKS240702ERIMON_20C_sample_6,0.537
JKL240702PROREP_20C_sample_1,0.29
JKL240702PROREP_20C_sample_2,0.216
JKL240702PROREP_20C_sample_3,0.327
JKL240702PROREP_20C_sample_4,0.179
JKL240702PROREP_20C_sample_5,0.269
JKL240702PROREP_20C_sample_6,0.22
JKS240702PROREP_20C_sample_1,1.745
JKS240702PROREP_20C_sample_2,6.146
JKS240702PROREP_20C_sample_3,7.534
JKS240702PROREP_20C_sample_4,3.686
JKS240702PROREP_20C_sample_5,3.297
JKS240702PROREP_20C_sample_6,12.955
JKS240702CANCON_20C_sample_1,1.158
JKS240702CANCON_20C_sample_2,1.403
JKS240702CANCON_20C_sample_3,0.724
JKS240702CANCON_20C_sample_4,1.232
JKS240702CANCON_20C_sample_5,1.44
JKS240702CANCON_20C_sample_6,1.082
JKS240702ERIMON_25C_sample_1,0.496
JKS240702ERIMON_25C_sample_2,1.921
JKS240702ERIMON_25C_sample_3,0.812
JKS240702ERIMON_25C_sample_4,1.47
JKS240702ERIMON_25C_sample_5,1.117
JKS240702ERIMON_25C_sample_6,2.865
JKS240702PROREP_25C_sample_1,6.008
JKS240702PROREP_25C_sample_2,4.795
JKS240702PROREP_25C_sample_3,4.69
JKS240702PROREP_25C_sample_4,1.329
JKS240702PROREP_25C_sample_5,4.81
JKS240702PROREP_25C_sample_6,2.35
JKS240702CANCON_25C_sample_1,0.515
JKS240702CANCON_25C_sample_2,0.736
JKS240702CANCON_25C_sample_3,1.337
JKS240702CANCON_25C_sample_4,0.625
JKS240702CANCON_25C_sample_5,1.962
JKS240702CANCON_25C_sample_6,1.721
